lancet_label,expected_le_1950,observed_le_1950,diff_1950,expected_le_1990,observed_le_1990,diff_1990,expected_le_2000,observed_le_2000,diff_2000,expected_le_2010,observed_le_2010,diff_2010,expected_le_2021,observed_le_2021,diff_2021,sdi_value
Global,65.5582617555982,51.560411945267866,13.99784981033033,72.2051812457713,68.07678023400382,4.12840101176748,73.5755407418334,69.83263550518082,3.7429052366525752,74.8195580384086,73.26861962258774,1.5509384158208661,76.1547617030033,74.76836280173357,1.3863989012697289,0.665820974847562
"Central Europe, eastern Europe, and central Asia",72.2051812457713,63.83598756142221,8.369193684349092,75.4869414194759,73.81133457947347,1.6756068400024304,76.5611958711918,73.23250535094394,3.3286905202478607,77.9920854469424,75.74354030346692,2.248545143475482,79.259242862653707,75.49680574054015,3.7624371221135533,0.769466346073944
Central Asia,68.566706333017,51.892124321330385,16.67458201168661,73.1367533946436,71.64944356802447,1.4873098266191391,73.8600248306864,70.97152061829587,2.8885042123905293,75.3538195667091,73.60489313050581,1.7489264362032912,76.1547617030033,74.26579005185116,1.888971651152147,0.675163978206939
Armenia,69.4376046972604,52.165681431860776,17.27192326539962,72.8349361524656,73.90573358744486,-1.070797434979255,73.8600248306864,74.91084857595261,-1.0508237452662144,75.8867615917168,77.12573100574664,-1.2389694140298388,77.2583618585503,78.59716850276,-1.338806644209697,0.701833194147139
Azerbaijan,67.6314133302304,39.24261205879688,28.388801271433522,74.27695938059,70.62176286471097,3.6551965158790267,73.8600248306864,70.59076625580146,3.269258574884944,75.7533094834353,73.04246838934698,2.710841094088323,76.9758259836149,73.37434702273123,3.601478960883668,0.694851274415291
Georgia,72.9868451753022,56.9744102912909,16.01243488401129,75.8867615917168,73.67135891721271,2.215402674504091,75.2206238903527,73.96868101358687,1.251942876765824,76.4249669154543,77.8653337407987,-1.4403668253443982,78.1441298705599,75.83978001371759,2.3043498568423075,0.732473604476306
Kazakhstan,69.2257150765922,61.30859008994402,7.917124986648176,74.1391275715876,72.64181981910859,1.4973077524790028,75.6200752848877,70.46560045553241,5.154474829355294,76.6983334419813,72.99703391213481,3.7012995298464944,77.6934696228319,73.85955627774875,3.833913345083147,0.725144495100349
Kyrgyzstan,69.0099795820207,51.930374860420926,17.07960472159978,72.0417136731455,70.94638042985817,1.0953332432873282,72.8349361524656,71.35385788659121,1.4810782658743875,73.1367533946436,73.80986820954851,-0.6731148149049062,74.6849839445894,76.13011776215681,-1.4451338175674096,0.603979328412055
Mongolia,61.6310629976022,39.91256373967067,21.718499257931533,70.050868820996,65.50585489539164,4.545013925604366,72.2051812457713,67.04613296858139,5.15904827718991,73.7185131922834,71.06932210415637,2.6491910881270258,74.9536101128661,74.60276806149936,0.3508420513667403,0.617621564638127
Tajikistan,61.9547290274367,40.61097142423138,21.34375760320532,70.050868820996,68.62929290513226,1.421575915863741,69.6457129421574,68.97308277642674,0.6726301657306664,71.0027887547265,71.68933855562443,-0.6865498008979358,72.3661382011684,72.06241361047057,0.30372459069782565,0.541511187051998
Turkmenistan,68.3390499889094,48.7687036225786,19.570346366330796,73.4309952746431,69.25489966290856,4.176095611734539,73.4309952746431,70.0296723368192,3.401322937823892,75.0872593306442,73.08532662111651,2.0019327095276935,76.6983334419813,71.51425355533833,5.1840798866429765,0.682160775869611
Uzbekistan,65.2799188138218,52.057698700871235,13.22222011295056,71.5352857676637,72.72148016195585,-1.1861943942921584,73.1367533946436,71.48354669185362,1.653206702789987,74.8195580384086,73.40763076161576,1.411927276792838,75.6200752848877,75.10064383904451,0.5194314458431961,0.662621694181816
Central Europe,70.6320829088109,58.87541985349563,11.756663055315272,75.3538195667091,74.58164021533986,0.7721793513692461,77.1164068999939,76.4003504639347,0.7160564360592048,78.7710642760587,78.95648913179808,-0.1854248557393845,80.0938300555705,78.2993417031065,1.7944883524640005,0.796244447535816
Albania,64.4196664780328,50.15450306057481,14.265163417457984,73.2847680345981,75.66696468644516,-2.382196651847053,74.0001899335917,78.39421523277385,-4.394025299182147,75.8867615917168,80.41408898760638,-4.5273273958895714,77.2583618585503,78.6843752553064,-1.4260133967561046,0.706849790878611
Bosnia and Herzegovina,60.6428371254562,47.452957835813756,13.189879289642441,72.6809164009106,76.22529080593934,-3.5443744050287336,74.5497703263887,78.0342169815293,-3.4844466551406015,76.5611958711918,79.83647032639952,-3.2752744552077218,77.841883595519,78.27539564707858,-0.43351205155958894,0.72307789321024
Bulgaria,69.8501095562065,58.86152008761185,10.988589468594654,75.3538195667091,73.47239986554825,1.8814197011608513,76.5611958711918,73.67649617121921,2.884699699972586,77.9920854469424,75.91870613838674,2.0733793085556584,79.259242862653707,73.71181571943684,5.547427143216865,0.768150939342518
Croatia,70.24806740807,52.889376334372635,17.358691073697365,76.2895284001803,75.7389456108312,0.5505827893491073,77.2583618585503,78.08944890819568,-0.8310870496453759,78.93228906303,80.01849400815533,-1.0862049451253313,80.261372930289,80.30170763927522,-0.04033470898622227,0.798341026936276
Czechia,73.7185131922834,68.10634592441907,5.612167267864322,76.5611958711918,75.6379900313224,0.9232058398693965,79.259242862653707,78.4315906478411,0.827652214812602,80.5938426661382,80.91433222274863,-0.32048955661042555,81.2476223708153,80.85352442304433,0.39409794777095897,0.828450433122785
Hungary,71.5352857676637,62.37434529590735,9.160940471756348,75.7533094834353,73.8358971698556,1.9174123135797032,77.5467977046945,76.07639943935673,1.4703982653377636,79.0950774577826,78.48324468080408,0.6118327769785168,79.9258958724552,77.96879496298625,1.9571009094689487,0.790754768173338
Montenegro,69.6457129421574,66.44751847866418,3.1981944634932233,76.4249669154543,78.27158927984514,-1.8466223643908393,76.4249669154543,76.69346755383313,-0.2685006383788249,78.453875169857,77.70919493306323,0.7446802367937693,80.0938300555705,76.01116238018189,4.08266767538862,0.795800584021403
North Macedonia,67.6314133302304,49.262880819382175,18.368532510848226,74.5497703263887,72.57801249639176,1.9717578299969318,75.4869414194759,73.65816554320524,1.8287758762706545,77.2583618585503,75.36091205857647,1.8974497999738276,78.6115528493146,74.24459045905898,4.3669623902556225,0.750629703270047
Poland,71.183347145972,59.64753631617068,11.535810829801314,75.0872593306442,75.62798153781962,-0.5407222071754205,77.2583618585503,78.03385291795807,-0.77549105940777,79.0950774577826,80.54578481009426,-1.4507073523116674,80.5938426661382,79.71997055504703,0.873872111091174,0.812042808667712
Romania,67.1386999129439,60.878259527757166,6.26044038518674,74.9536101128661,73.0393757374845,1.9142343753815965,76.1547617030033,74.68785520057195,1.4669065024313568,77.841883595519,77.49972493069029,0.34215866482870183,79.259242862653707,76.80874671527853,2.4504961473751763,0.768453864365965
Serbia,70.4417784149706,49.90082566554411,20.540952749426488,75.2206238903527,72.96669308853657,2.253930801816125,76.0205453806043,73.80434987024002,2.2161955103642867,78.2980556451255,76.7071159616182,1.590939683507301,80.0938300555705,76.72435448691043,3.3694755686600786,0.792416293685483
Slovakia,72.2051812457713,64.42364777121188,7.781533474559424,75.8867615917168,75.61068335074732,0.27607824096948264,78.1441298705599,77.92842235234335,0.2157075182165471,79.7581335668345,79.64451325814996,0.11362030868454553,80.5938426661382,78.34291381535222,2.250928850785982,0.810610529921693
Slovenia,73.2847680345981,59.502354087022276,13.782413947575826,77.9920854469424,78.04727581519802,-0.05519036825562296,79.5909130566986,80.0107246554963,-0.4198115987977076,80.9225798656503,82.96992290060851,-2.047343034958203,81.7283348665087,84.0326967516848,-2.3043618851760925,0.842430731281465
Eastern Europe,73.1367533946436,69.51354965948899,3.6232037351546182,76.1547617030033,74.60632290111477,1.5484388018885369,77.1164068999939,72.90326794668616,4.213138953307748,78.7710642760587,75.09500623279719,3.6760580432615058,80.4280765833013,74.85807097452744,5.570005608773869,0.802851008869645
Belarus,70.6320829088109,70.56799307538077,0.0640898334301312,74.9536101128661,75.75356470768592,-0.7999545948198232,76.1547617030033,74.67998997024348,1.4747717327598195,78.1441298705599,76.63369532132565,1.5104345492342475,79.7581335668345,75.97818684470812,3.7799467221263825,0.784484710906639
Estonia,73.2847680345981,69.99547893479017,3.289289099807931,76.4249669154543,74.9955696494896,1.4293972659647096,78.2980556451255,76.15343868624502,2.1446169588804764,80.261372930289,80.80653590805564,-0.5451629777666369,81.7283348665087,81.22150663725523,0.5068282292534718,0.844917787360624
Latvia,73.5755407418334,71.99562210051832,1.579918641315075,76.5611958711918,74.68454631659576,1.8766495545960424,77.9920854469424,75.97412541124804,2.017960035694358,80.261372930289,78.13942292050034,2.1219500097886623,81.2476223708153,78.11390499168367,3.1337173791316246,0.830663516299797
Lithuania,71.5352857676637,68.69307538472874,2.842210382934951,76.2895284001803,76.11759376679854,0.17193463338176684,77.6934696228319,77.47335841716266,0.22011120566924092,80.0938300555705,78.71461751380559,1.3792125417649146,82.2009195502738,78.90168854981553,3.2992310004582635,0.856484049109405
Moldova,69.8501095562065,56.45260588398399,13.397503672222513,74.5497703263887,71.53039939898548,3.019370927403216,74.9536101128661,72.50072481607093,2.4528852967951735,76.2895284001803,74.72367062336758,1.5658577768127202,77.9920854469424,76.39170134218145,1.6003841047609484,0.732214875427507
Russia,73.2847680345981,69.48354529704697,3.8012227375511287,76.2895284001803,74.50419977129175,1.78532862888855,77.4017895401842,72.4580510860672,4.943738454116996,79.0950774577826,74.75415894659854,4.340918511184057,80.5938426661382,74.33837962916625,6.255463036971946,0.808536004906566
Ukraine,72.9868451753022,70.75313624687668,2.2337089284255143,75.6200752848877,74.82320769670511,0.7968675881825931,76.2895284001803,73.45614733073018,2.8333810694501267,77.6934696228319,75.39662463344531,2.296844989386585,78.93228906303,75.65509015034495,3.2771989126850514,0.760773912846782
High income,74.0001899335917,67.65390843014177,6.34628150344993,78.6115528493146,79.39768120262289,-0.7861283533082855,79.9258958724552,81.17645177102214,-1.2505558985669438,80.7586754387809,83.12885184850421,-2.370176409723314,82.0442883633757,83.33958872970015,-1.2953003663244544,0.851884810176593
Australasia,73.5755407418334,71.91169222261152,1.6638485192218724,77.9920854469424,79.69210145194947,-1.7000160050070718,79.42454969997,82.07219553941366,-2.647645839443655,80.4280765833013,83.95843527436587,-3.5303586910645635,81.7283348665087,85.34686583210849,-3.6185309655997884,0.845514063311111
Australia,73.2847680345981,72.00028692247781,1.2844811121202895,77.841883595519,79.96887706288248,-2.1269934673634907,79.259242862653707,82.33236864333222,-3.0731257806785095,80.4280765833013,84.20244221153384,-3.7743656282325304,81.7283348665087,85.5896416666298,-3.861306800121099,0.844252813727575
New Zealand,74.5497703263887,71.5138337694981,3.03593655689059,78.6115528493146,78.37075255715806,0.24080029215654974,79.7581335668345,80.83012360068993,-1.0719900338554282,80.5938426661382,82.76512240383082,-2.1712797376926147,81.8867612982213,84.1204857535909,-2.2337244553695967,0.849442498970719
High-income Asia Pacific,71.5352857676637,59.60079576257552,11.934490005088172,79.259242862653707,80.94671491932813,-1.687472056674423,80.7586754387809,84.06537183915384,-3.3066964003729424,81.7283348665087,86.2273865247957,-4.4990516582870015,82.6654709346071,87.7749162918555,-5.109445357248404,0.876767000230308
Brunei,65.5582617555982,49.4628144645516,16.095447291046597,76.1547617030033,73.13218250898525,3.02257919401805,77.6934696228319,75.2287023415819,2.4647672812500048,79.42454969997,77.1392525280056,2.2852971719644017,80.5938426661382,78.27244231748149,2.3214003486567094,0.810234366947283
Japan,72.8349361524656,63.49333840306762,9.341597749397984,79.9258958724552,82.2833551099071,-2.3574592374519057,81.0855606741383,85.05716619447563,-3.97160552033732,81.7283348665087,86.68023107185645,-4.951896205347751,82.5115076344357,88.11918095882406,-5.607673324388358,0.871241812572128
South Korea,61.6310629976022,46.53695306544478,15.094109932157423,76.8365035323037,75.91122360178473,0.9252799305189683,79.7581335668345,79.7317432723715,0.02639029446299901,81.7283348665087,83.95890065609932,-2.2305657895906137,82.9707513626629,86.04417046359008,-3.0734191009271825,0.886675266756997
Singapore,62.5924477188592,60.51396648687792,2.0784812319812787,76.6983334419813,78.15571920717369,-1.4573857651923845,79.259242862653707,81.67363586821254,-2.4143930055588356,81.2476223708153,84.95816888187889,-3.7105465110635976,82.0442883633757,87.68561124403753,-5.641322880661832,0.856097766112729
High-income North America,74.8195580384086,71.1134808802927,3.706077158115903,79.0950774577826,79.10587559277371,-0.010798134991119923,80.0938300555705,79.67650301531826,0.4173270402522462,81.2476223708153,81.3676197895061,-0.11999741869080083,82.356658223277,80.4115911005252,1.9450671227517944,0.86346547399092
Canada,74.9536101128661,70.8573767172384,4.096233395627706,79.5909130566986,80.56857427804285,-0.977661221344249,80.7586754387809,81.81112828509158,-1.0524528463106861,81.7283348665087,83.5700426990318,-1.8417078325230989,82.6654709346071,84.0902223220426,-1.4247513874355064,0.873170679735405
Greenland,73.5755407418334,52.23919095101258,21.33634979082081,77.9920854469424,67.46727796960633,10.524807477336068,78.2980556451255,71.07180506497323,7.226250580152268,80.4280765833013,74.8677394103032,5.5603371729981035,81.4087692570189,76.91052654678808,4.4982427102308264,0.82621033634361
USA,74.8195580384086,71.15694215912151,3.662615879287088,79.0950774577826,78.95859654838536,0.13648090939723545,80.0938300555705,79.45668608905639,0.6371439665141168,81.0855606741383,81.12785363269431,-0.04229295855600412,82.356658223277,80.01816231324554,2.3384959100314546,0.862448354015145
Southern Latin America,70.24806740807,63.970305456333314,6.277761951736686,74.0001899335917,76.29838942423814,-2.2981994906464394,75.4869414194759,78.44358549147391,-2.9566440719980136,76.5611958711918,79.62869395777244,-3.067498086580642,78.453875169857,79.85074736084476,-1.3968721909877644,0.735984716622088
Argentina,70.6320829088109,66.92959893266541,3.702483976145487,74.0001899335917,76.01901299913538,-2.0188230655436854,75.4869414194759,77.92028300357481,-2.433341584098912,76.2895284001803,78.95899722389457,-2.6694688237142685,78.1441298705599,79.06813744637932,-0.9240075758194308,0.723122972582249
Chile,69.0099795820207,55.20526887882117,13.804710703199532,74.0001899335917,76.68100905190228,-2.6808191183105805,75.8867615917168,79.81388448701195,-3.927122895295142,77.2583618585503,81.3239372007621,-4.065575342211801,79.259242862653707,81.90492327911969,-2.6456804164659786,0.771514715903929
Uruguay,70.4417784149706,70.2435376044096,0.1982408105610034,73.8600248306864,76.882039927708135,-3.022015097021736,75.0872593306442,78.61177289768429,-3.5245135670400884,76.1547617030033,80.01815618791284,-3.8633944849095343,77.6934696228319,79.35285915248957,-1.6593895296576733,0.719283444839432
Western Europe,74.0001899335917,69.21685684048242,4.7833330931092775,78.453875169857,79.50615006135907,-1.0522748915020657,79.7581335668345,81.526236624097,-1.7681030572624934,80.7586754387809,83.57622514500666,-2.817549706225762,81.8867612982213,84.20513245272264,-2.3183711545013352,0.8487263158736
Andorra,74.5497703263887,77.87827059757024,-3.3285002711815395,78.93228906303,82.3093301452246,-3.3770410821946086,79.5909130566986,83.54688219663997,-3.9559691399413737,81.5690054438387,84.77082169709622,-3.201816253257519,82.5115076344357,85.68594961669257,-3.174441982256866,0.869444112735696
Austria,74.4138015454996,68.57371494125061,5.840086604248981,78.6115528493146,78.95805332374972,-0.34650047443511767,79.9258958724552,81.30866968617738,-1.3827738137221814,81.0855606741383,83.24640734914318,-2.1608466750048763,82.0442883633757,84.0726829210879,-2.028394557712204,0.853837004256539
Belgium,73.7185131922834,68.85052061254964,4.867992579733752,78.2980556451255,79.2905450867227,-0.9924894415972005,79.5909130566986,81.04004719853903,-1.4491341418404318,80.7586754387809,82.79275692497025,-2.0340814861893506,82.0442883633757,84.19481430796529,-2.150525944589589,0.853654015777112
Cyprus,69.4376046972604,61.717312908503025,7.720291788757372,75.7533094834353,76.26764461495829,-0.5143351315229836,78.453875169857,78.05825470768302,0.39562046217398006,80.5938426661382,81.32835973355274,-0.7345170674145436,81.4087692570189,83.20399667473423,-1.7952274177153242,0.835630545002355
Denmark,75.3538195667091,71.90720039771628,3.446619168992825,80.261372930289,77.93406226033818,2.327310669950819,81.5690054438387,79.32759979797862,2.241405645860084,82.356658223277,81.57020137354797,0.7864568497290207,83.2725230817977,83.50393432028531,-0.2314112384876097,0.896424204101212
Finland,73.4309952746431,68.072380202926,5.358615071717097,78.7710642760587,79.39360133498819,-0.6225370589294954,79.9258958724552,81.48181256474565,-1.5559166922904524,81.0855606741383,83.67242779346843,-2.5868671193301225,82.2009195502738,84.93566042396921,-2.734740873695415,0.859831367662218
France,72.6809164009106,69.80123604978135,2.8796803511292524,77.9920854469424,81.1216574473973,-3.1295720004548997,79.42454969997,82.68530269861952,-3.2607529986495223,80.4280765833013,84.5650224110559,-4.136945827754602,81.5690054438387,85.49830378393445,-3.929298340095741,0.838364875196954
Germany,75.4869414194759,70.21326829608043,5.273673123395469,80.7586754387809,78.59728633973526,2.1613890990456355,81.8867612982213,81.16810851389975,0.7186527843215487,82.8185511840716,82.84093835473627,-0.022387170664671885,83.5708086772199,83.402435979298,0.16837269792189602,0.902957091057572
Greece,71.7068614150941,70.85236743467759,0.8544939804165068,76.4249669154543,79.41128876039267,-2.9863218449383595,78.1441298705599,80.84127359529751,-2.6971437247376144,79.42454969997,82.7451511323965,-3.3206014324265,79.9258958724552,82.78181695685858,-2.855921084403377,0.791854407912829
Iceland,73.4309952746431,73.98903652556817,-0.5580412509250721,79.0950774577826,80.16404922472651,-1.0689717669439176,80.4280765833013,82.13723377965415,-1.709157196352848,81.5690054438387,83.42000847167242,-1.8510030278337126,82.6654709346071,84.89295051511438,-2.2274795805072785,0.876361679802766
Ireland,73.8600248306864,67.21081358826665,6.649211242419753,77.6934696228319,77.6149164838134,0.0785531390184957,79.5909130566986,79.3433236267337,0.24758942996488997,81.2476223708153,82.86527494998418,-1.6176525791688903,82.6654709346071,84.47289497634624,-1.8074240417391394,0.873753849787408
Israel,71.7068614150941,72.73834871372993,-1.031487298635838,77.4017895401842,78.79126333685481,-1.3894737966706145,78.6115528493146,80.63827339472554,-2.0267205454109387,79.42454969997,83.41169078007353,-3.9871410801035267,80.5938426661382,85.0958699511706,-4.502027285032398,0.809011651557631
Italy,72.2051812457713,68.88236017228736,3.3228210734839365,77.2583618585503,80.25906068539891,-3.0006988268486054,78.6115528493146,82.43875556567826,-3.827202716363658,79.5909130566986,84.3953927806225,-4.8044797239239045,80.4280765833013,84.8817737685675,-4.4536971852661935,0.805773533613512
Luxembourg,75.6200752848877,68.22625684259577,7.393818442291931,79.5909130566986,78.7458398722499,0.8450731844486938,80.9225798656503,81.3717159395265,-0.4491360738761898,82.0442883633757,83.39643044190186,-1.3521420785261569,82.9707513626629,84.87720750318883,-1.9064561405259326,0.884428955125693
Malta,67.8714481366511,67.41258726274502,0.458860873906076,75.8867615917168,78.74448725962422,-2.8577256679074168,77.4017895401842,81.14181673794056,-3.740027197756362,78.7710642760587,83.29235388355586,-4.521289607497167,80.261372930289,84.06028842099681,-3.798915490707813,0.801585033998971
Monaco,76.8365035323037,68.12118960928639,8.715313923017305,81.7283348665087,81.03104148023756,0.6972933862711415,82.5115076344357,81.36715857505811,1.1443490593775891,83.1220743794233,81.69069000506241,1.4313843743608885,83.7186510337139,81.38840590345343,2.330245130260465,0.908262830989574
Netherlands,75.7533094834353,72.85502203898301,2.8982874444522935,80.0938300555705,80.13273212226726,-0.03890206669674967,81.2476223708153,80.67044319603755,0.57717917477774,82.2009195502738,82.84055501772761,-0.6396354674538145,83.1220743794233,83.22682622439025,-0.10475184496695533,0.888464256397732
Norway,75.8867615917168,73.71710898137107,2.169652610345736,80.0938300555705,80.12889536174298,-0.035065306172469946,81.7283348665087,81.55735450540676,0.1709803611019396,82.8185511840716,83.38318597451853,-0.5646347904469309,83.8656300180755,84.87538143058397,-1.0097514125084643,0.916132810119013
Portugal,68.1073131895351,60.944982588656245,7.16233060087886,74.4138015454996,77.59390662363394,-3.1801050781343463,76.0205453806043,80.07318661770829,-4.052641237103984,77.2583618585503,83.1255173920832,-5.867155533532895,78.453875169857,84.43785792430198,-5.98398275444498,0.744151850665712
San Marino,75.4869414194759,76.23286750073592,-0.7459260812600235,80.7586754387809,82.37006375076685,-1.611388311985948,82.2009195502738,84.50863086432568,-2.307711314051886,82.8185511840716,87.56947627453249,-4.750925090460896,82.9707513626629,88.07022136170345,-5.099469999040551,0.888005473958106
Spain,69.0099795820207,64.4967833968209,4.513196185199803,75.3538195667091,80.43519334780846,-5.081373781099359,76.9758259836149,82.8679929175559,-5.892166933940999,78.2980556451255,85.00329524173439,-6.705239596608891,79.259242862653707,85.7336698954766,-6.474427032822888,0.769283697979998
Sweden,75.4869414194759,72.69932012730708,2.787621292168822,79.7581335668345,80.75578073292479,-0.9976471660902888,81.4087692570189,82.21592752607047,-0.8071582690515697,82.2009195502738,83.75428930610623,-1.5533697558324349,83.1220743794233,85.01637822500193,-1.8943038455786336,0.886880298870342
Switzerland,78.6115528493146,71.08893358445825,7.52261926485636,82.356658223277,81.19997317862348,1.1566850446535142,82.9707513626629,83.13717729115535,-0.1664259284924583,83.7186510337139,85.00274196576542,-1.2840909320515266,84.4449652827042,86.39198477773935,-1.9470194950351498,0.933059110986638
UK,74.6849839445894,71.26928628458056,3.4156976600088456,78.453875169857,78.42145495180611,0.032420218050887684,79.9258958724552,80.06284257726769,-0.1369467048124875,80.9225798656503,82.4970809496897,-1.5745010840393974,82.2009195502738,82.38523369798204,-0.18431414770824972,0.859000181772086
England,74.6849839445894,71.8120111601469,2.87297278444251,78.453875169857,78.64388568154546,-0.19001051168845606,79.9258958724552,80.26827184477736,-0.34237597232215933,80.9225798656503,82.75656577113162,-1.8339859054813132,82.2009195502738,82.63538771812442,-0.4344681678506248,0.861437308955061
Northern Ireland,73.7185131922834,68.65796035269084,5.06055283959256,77.841883595519,77.22767855128099,0.6142050442380054,79.42454969997,79.59493168316331,-0.17038198319330888,80.4280765833013,81.78589592102533,-1.357819337724024,81.5690054438387,82.26721335390226,-0.6982079100635588,0.838531942404431
