lancet_label,val.pop_22_2000,lower.pop_22_2000,upper.pop_22_2000,val.pop_22_2021,lower.pop_22_2021,upper.pop_22_2021,val.pop_39_2000,lower.pop_39_2000,upper.pop_39_2000,val.pop_39_2021,lower.pop_39_2021,upper.pop_39_2021,val.pop_200_2000,lower.pop_200_2000,upper.pop_200_2000,val.pop_200_2021,lower.pop_200_2021,upper.pop_200_2021,val.pop_154_2000,lower.pop_154_2000,upper.pop_154_2000,val.pop_154_2021,lower.pop_154_2021,upper.pop_154_2021,val.popROC,lower.popROC,upper.popROC,pop_ratio
Global,6098778,5976444.2,6222619.9,7891353.3,7666734,8131224.5,1834091.5,1797568.9,1871037.9,2011861.2,1953884.8,2071008.6,3841324.2,3761581.3,3924378.8,5109281.8,4960179.7,5268035,423362.3,415585.1,431695.2,770210.3,750166.9,792403.7,1.2,1.2,1.3,0.38
"Southeast Asia, east Asia, and Oceania",1855936.9,1761862.7,1948976.5,2185007.2,2074128.7,2292835.9,482518.9,459529.2,505320.4,445086.5,423815.1,465385.6,1254602.4,1189975.6,1318554.9,1485585.8,1410497.1,1559013.9,118815.6,112317.6,125054.8,254334.8,239526.7,269077.7,0.8,0.7,0.8,0.57
East Asia,1304755.1,1217992.8,1392708.9,1472774.9,1369752.2,1579504.4,305199.2,284909.4,325829,267352.1,248497.5,286885.4,907103.4,846747.6,968197.1,1002735.1,932779.2,1075233.7,92452.6,86335.8,98652.8,202687.7,188420.2,217420.7,0.6,0.6,0.6,0.76
China,1259085.8,1172263.3,1346853.8,1422746,1318759.2,1530462.3,293953.8,273643.1,314466.7,259631.6,240601,279324.3,876152.1,815750.1,937218.7,967106.7,896434.6,1040317.2,88979.9,82870.1,95168.4,196007.6,181714.5,210820.8,0.6,0.6,0.6,0.75
North Korea,23404.2,20852,25973.5,26392.3,22352.8,30270,6545.1,5831.4,7263.7,4773.7,4043.1,5475.1,15315.7,13645.5,16997.1,18946.6,16046.7,21730.4,1543.4,1375.1,1712.8,2671.9,2263,3064.5,0.6,0.3,0.7,0.56
Taiwan (province of China),22265.1,22122.3,22405.9,23636.7,21438.9,25875,4700.2,4670.1,4730,2946.7,2672.7,3225.8,15635.5,15535.3,15734.4,16681.8,15130.6,18261.4,1929.3,1916.9,1941.5,4008.2,3635.5,4387.8,0.3,-0.1,0.7,1.36
Southeast Asia,542836.3,512515.7,573171.7,698304.7,670177.5,727998.1,174014.9,164657.2,183621.1,172653.6,165805.3,179713.9,342714.1,323497.4,362007.1,474492.8,455505.5,495134.9,26107.4,24727.8,27525.4,51158.4,48971.8,53344,1.2,1.1,1.3,0.3
Cambodia,12533,11531.2,13601.5,17044.1,14539.3,19613.6,5196.1,4780.8,5639.1,5116.6,4364.6,5887.9,6906.8,6354.7,7495.6,10996.9,9380.8,12654.8,430.1,395.8,466.8,930.6,793.8,1070.9,1.5,1.1,1.8,0.18
Indonesia,211678.9,182890.1,240475.3,278914.2,256923,300109,66625.5,57564.3,75689.1,67288.4,61983,72401.6,135470.2,117046,153899.3,194150.4,178842.5,208904,9583.2,8279.8,10886.8,17475.4,16097.6,18803.4,1.3,1.1,1.6,0.26
Laos,5387.8,4852.2,5932.3,7377.6,6610.4,8098,2307.5,2078.1,2540.7,2296.4,2057.6,2520.6,2887.3,2600.3,3179.1,4754,4259.7,5218.3,193,173.8,212.5,327.2,293.2,359.1,1.5,1.5,1.5,0.14
Malaysia,23817.3,22249.3,25456,31812.2,27220.3,35985,7991,7465,8540.9,7613.6,6514.7,8612.3,14915.4,13933.4,15941.6,21856.7,18701.8,24723.6,910.9,850.9,973.5,2341.9,2003.9,2649.1,1.4,1,1.6,0.31
Maldives,279.6,260.5,299.1,517.2,455.9,570.8,113,105.3,120.9,100.2,88.3,110.5,156.3,145.6,167.1,394.9,348.1,435.9,10.3,9.6,11,22.1,19.5,24.4,2.9,2.7,3.1,0.22
Myanmar,45266.6,38334.3,52250.5,56419.7,50184.1,62791.2,14312.5,12120.6,16520.7,15614.8,13889,17378.1,28654.5,24266.2,33075.4,36996.6,32907.7,41174.6,2299.6,1947.5,2654.4,3808.3,3387.4,4238.4,1.1,0.9,1.3,0.24
Philippines,79452,73872.9,85076.3,113249.5,100303.8,125282.4,29972.3,27867.7,32094.1,33998.5,30112.1,37610.9,46536.9,43269.2,49831.3,73079.8,64726,80844.6,2942.7,2736,3151,6171.2,5465.7,6826.9,1.7,1.5,1.8,0.18
Sri Lanka,18710.6,16166.9,21214.7,22270.1,19443.7,25034.7,5085.7,4394.3,5766.3,5104,4456.2,5737.6,12520.2,10818.1,14195.8,14714.7,12847.2,16541.4,1104.7,954.5,1252.6,2451.3,2140.2,2755.6,0.8,0.8,0.9,0.48
Thailand,62519.2,58477.6,66849,66683.2,57543.3,75921.3,15159.2,14179.2,16209,9766.3,8427.7,11119.3,43440.2,40632,46448.7,47274.3,40794.6,53823.5,3919.8,3666.4,4191.3,9642.6,8321,10978.5,0.3,-0.1,0.6,0.99
Timor-Leste,903.7,821.3,983.6,1397.7,1248.6,1544,388.6,353.2,423,520.6,465.1,575.1,486.9,442.5,530,802.7,717.1,886.7,28.2,25.6,30.6,74.4,66.4,82.1,2.1,2,2.2,0.14
Viet Nam,80203.4,74523.2,86376.2,100267.9,92291.8,107845.2,26276.7,24415.7,28299.1,24762.6,22792.8,26634,49361.4,45865.5,53160.5,67836.8,62440.6,72963.3,4565.3,4242,4916.7,7668.4,7058.4,8247.9,1.1,1,1.1,0.31
Oceania,8345.5,7948.7,8715.9,13927.6,12507,15293.3,3304.9,3139.6,3454.9,5080.9,4543.3,5591.1,4785,4561.9,4995.3,8357.9,7517.2,9173.1,255.6,244.5,266.2,488.8,446.4,529.7,2.4,2.2,2.7,0.1
Fiji,815.9,739,892.3,924.5,838.9,1016.1,265.6,240.6,290.5,272.5,247.3,299.5,522.1,472.9,571,595.5,540.4,654.5,28.2,25.5,30.8,56.4,51.2,62,0.6,0.6,0.6,0.21
Kiribati,87.3,81,93.8,121.2,108.3,134.4,34.9,32.4,37.5,42,37.6,46.6,49.5,45.9,53.1,74.5,66.6,82.7,2.9,2.7,3.1,4.6,4.1,5.1,1.6,1.4,1.7,0.11
Marshall Islands,52.5,48.5,56.6,56.3,49.2,63.6,21.9,20.2,23.5,17.5,15.3,19.7,29.5,27.3,31.8,36.5,31.9,41.3,1.1,1,1.2,2.3,2,2.6,0.3,0.1,0.6,0.13
Federated States of Micronesia,109.5,101.9,116.6,102.6,89.5,116.4,44.4,41.3,47.3,30.6,26.7,34.7,61.3,57.1,65.4,67.2,58.6,76.2,3.8,3.5,4,4.8,4.2,5.5,-0.3,-0.6,-0,0.16
Papua New Guinea,5518.1,5144.5,5876.4,10461.6,9096.3,11786.5,2251.6,2099.2,2397.8,3917,3405.9,4413.1,3110.5,2899.9,3312.5,6230.3,5417.2,7019.3,155.9,145.4,166.1,314.2,273.2,354,3,2.7,3.3,0.08
Samoa,180.1,166.2,192.6,213.6,193,235.5,72.6,67,77.6,79.9,72.2,88.1,99.3,91.6,106.1,122.7,110.8,135.2,8.3,7.6,8.8,11,10,12.2,0.8,0.7,1,0.14
Solomon Islands,445.2,411.9,479.9,683.6,578.6,779.6,189.9,175.7,204.7,260,220.1,296.6,241.7,223.7,260.6,400.9,339.4,457.3,13.6,12.6,14.7,22.6,19.1,25.7,2,1.6,2.3,0.09
Tonga,102.8,93,112.6,106.3,96,116.6,40.5,36.6,44.3,39,35.2,42.8,56.8,51.4,62.2,60.6,54.7,66.5,5.5,5,6.1,6.7,6,7.3,0.2,0.1,0.2,0.17
Vanuatu,194.4,180.2,208.3,313,290.7,336.2,82.3,76.3,88.1,116.5,108.3,125.2,106.3,98.6,113.9,184.2,171.1,197.9,5.8,5.4,6.2,12.2,11.4,13.1,2.3,2.3,2.3,0.1
"Central Europe, eastern Europe, and central Asia",417396.2,403612.5,430772.7,417831.8,393251.5,441078.4,87319.8,84524,90025.1,80821,75889.8,85470.7,281696.1,272200.8,291031.5,275207.3,258916.1,290660.6,48380.3,46648.1,50025.2,61803.5,58138.1,65198.2,0,-0.1,0.1,0.76
Central Asia,74399.1,70634.1,78128.9,95808.8,85933.4,105622.6,24752.4,23461.1,26069.3,27675.8,24728.8,30552.6,45338.6,43134.2,47598.1,62112.5,55686.2,68554.6,4308.1,4116.3,4495.4,6020.6,5494.5,6548.3,1.2,0.9,1.4,0.22
Armenia,3318.2,3069,3552.3,2995.3,2604.7,3376.3,849.2,785.4,909.1,592.4,515.1,667.7,2171.6,2008.5,2324.8,2004.5,1743.1,2259.5,297.4,275,318.4,398.4,346.5,449.1,-0.5,-0.8,-0.2,0.67
Azerbaijan,8283.9,7703.6,8889.6,10500.2,9081.6,11992.9,2581.8,2400.9,2770.6,2360.6,2041.7,2696.2,5221.8,4856,5603.6,7440.5,6435.3,8498.3,480.3,446.6,515.4,699.1,604.6,798.5,1.1,0.8,1.4,0.3
Georgia,4729.9,4340.8,5116.9,3607.3,3199.6,4005.2,1032.4,947.5,1116.9,735.9,652.8,817.1,3085.5,2831.6,3337.9,2299.3,2039.5,2553,612,561.6,662.1,572,507.4,635.1,-1.3,-1.4,-1.2,0.78
Kazakhstan,14971.2,13856.5,16125.6,18955.5,17030.1,20835.3,4175.3,3864.4,4497.2,5426.5,4875.3,5964.6,9786.5,9057.9,10541.1,12126.5,10894.8,13329.1,1009.4,934.3,1087.2,1402.5,1260.1,1541.6,1.1,1,1.2,0.26
Kyrgyzstan,5013.9,4654.7,5379,6863.1,5856.7,7899.5,1769.1,1642.4,1898,2274.4,1940.9,2617.9,2966.1,2753.6,3182.1,4248.9,3625.8,4890.5,278.6,258.6,298.9,339.8,290,391.2,1.5,1.1,1.8,0.15
Mongolia,2444.6,2273.8,2611.8,3336.3,3084.5,3580.1,878.7,817.2,938.8,1086.6,1004.6,1166,1482.4,1378.7,1583.7,2105.2,1946.3,2259,83.6,77.8,89.3,144.5,133.6,155.1,1.5,1.4,1.5,0.13
Tajikistan,6363.6,5950.8,6796,10159.9,8805,11593.1,2714.3,2538.2,2898.7,3584.4,3106.4,4090,3405.2,3184.3,3636.6,6207.9,5380,7083.6,244.1,228.3,260.7,367.7,318.6,419.5,2.2,1.9,2.5,0.1
Turkmenistan,4261.3,3711,4831.7,5158.4,4621.6,5701.7,1602.3,1395.3,1816.7,1524,1365.4,1684.5,2480,2159.7,2811.9,3350.4,3001.7,3703.3,179.1,156,203,284,254.5,313.9,0.9,0.8,1,0.19
Uzbekistan,25012.5,21533.4,28655,34232.9,24498.1,43631.4,9149.4,7876.7,10481.8,10091.1,7221.5,12861.5,14739.5,12689.3,16886,22329.4,15979.6,28459.8,1123.6,967.3,1287.3,1812.4,1297,2310,1.5,0.6,2,0.18
Central Europe,122456.4,118414.5,126469.2,115263.8,109996.3,120347.1,22963,22175.1,23719.1,17701.2,16889.2,18488.4,83495.8,80723.4,86233,75237.6,71810.8,78535.1,15997.6,15480.4,16509.6,22325,21308.6,23307,-0.3,-0.4,-0.2,1.26
Albania,3193,2969.4,3432.9,2667.9,2315.7,3020.5,962.1,894.7,1034.4,443.7,385.1,502.3,2006.3,1865.7,2157,1808.4,1569.7,2047.4,224.6,208.9,241.5,415.8,360.9,470.8,-0.9,-1.2,-0.6,0.94
Bosnia and Herzegovina,3976.4,3488.9,4494.3,3302.9,2900.6,3694.1,806.2,707.4,911.2,490.4,430.7,548.5,2703.9,2372.4,3056,2206.9,1938.1,2468.3,466.3,409.1,527,605.5,531.8,677.3,-0.9,-0.9,-0.8,1.23
Bulgaria,7943.8,7402,8575.6,6786.9,6074.9,7429.4,1230.2,1146.3,1328,976.1,873.7,1068.5,5394.1,5026.2,5823.2,4337.5,3882.5,4748.1,1319.5,1229.5,1424.4,1473.4,1318.8,1612.8,-0.8,-0.9,-0.7,1.51
Croatia,4574,4248.3,4902.3,4208.6,3675.8,4748.1,794.3,737.7,851.3,597.1,521.5,673.7,3084.2,2864.5,3305.5,2715.5,2371.7,3063.5,695.5,646,745.5,896,782.6,1010.9,-0.4,-0.7,-0.2,1.5
Czechia,10228.6,10155.2,10304,10632.4,9668.2,11611.2,1669.5,1657.5,1681.8,1716.3,1560.7,1874.4,7143.3,7092.1,7196,6708.2,6099.8,7325.8,1415.8,1405.6,1426.2,2207.9,2007.6,2411.1,0.2,-0.2,0.6,1.29
Hungary,10203.2,9440.3,10958.4,9597.3,8426.1,10869.1,1723.2,1594.3,1850.7,1388.5,1219.1,1572.5,6952.9,6433.1,7467.6,6199.1,5442.7,7020.6,1527.1,1412.9,1640.1,2009.7,1764.4,2276,-0.3,-0.5,-0,1.45
North Macedonia,2058.2,1897.5,2226.1,2176.4,1797.2,2588,459.5,423.6,497,327.6,270.5,389.5,1394.9,1286,1508.7,1541.2,1272.7,1832.6,203.8,187.9,220.4,307.7,254,365.8,0.2,-0.3,0.7,0.94
Montenegro,636.8,580.3,695.4,618.1,540.3,701.1,141.7,129.1,154.7,111.4,97.4,126.4,425,387.3,464.1,412.9,360.9,468.4,70.1,63.9,76.6,93.7,81.9,106.3,-0.1,-0.3,0,0.84
Poland,38323,35161.4,41335.1,38238.5,34552.4,41891.1,7368.8,6760.9,7948,5885.7,5318.4,6447.9,26233.2,24069,28295.1,25179.8,22752.6,27585,4721,4331.5,5092,7172.9,6481.5,7858.1,-0,-0.1,0.1,1.22
Romania,22417.3,20597,24302.3,18938.6,16520.2,21513.2,4216.9,3874.4,4571.4,3010,2625.6,3419.2,15237,13999.8,16518.3,12142.5,10592,13793.3,2963.4,2722.7,3212.6,3786,3302.5,4300.7,-0.8,-1.1,-0.6,1.26
Serbia,9668.9,8884.4,10473.8,8919.5,7752.1,10032.9,1874.9,1722.8,2031,1327.8,1154,1493.6,6549,6017.5,7094.1,5934.1,5157.5,6674.9,1245.1,1144,1348.7,1657.6,1440.6,1864.5,-0.4,-0.6,-0.2,1.25
Slovakia,5389.7,5356.6,5423.2,5429.5,4895.8,5959.6,1048,1041.5,1054.5,856.6,772.4,940.2,3717.9,3695,3741,3636,3278.6,3991,623.8,620,627.7,936.9,844.8,1028.4,0,-0.4,0.4,1.09
Slovenia,1993,1978.9,2007.3,2069.7,1886.2,2250.8,320.8,318.5,323,312.3,284.6,339.6,1392.4,1382.5,1402.3,1320.4,1203.4,1436,279.9,277.9,281.9,437,398.2,475.2,0.2,-0.2,0.5,1.4
Eastern Europe,220540.6,207622.7,233586.9,206759.2,184806.4,227889.9,39604.4,37296.4,41930.3,35444,31586,39181.6,152861.7,143878.7,161936.3,137857.2,123221.4,151896,28074.5,26447,29720.2,33458,29923.2,36797.6,-0.3,-0.6,-0.1,0.94
Belarus,10215.1,9457.3,10977.6,9324.7,8020.7,10621.6,1929.7,1786.6,2073.7,1578.2,1357.5,1797.7,6923.2,6409.5,7439.9,6254.5,5379.9,7124.4,1362.2,1261.2,1463.9,1492,1283.3,1699.5,-0.4,-0.8,-0.2,0.95
Estonia,1393.8,1385.2,1403,1310.8,1188.3,1432.7,250.8,249.3,252.5,216.1,195.9,236.2,935.5,929.7,941.7,825.2,748,901.9,207.5,206.2,208.9,269.5,244.3,294.6,-0.3,-0.7,0.1,1.25
Latvia,2384,2206.7,2542.2,1870.3,1698.1,2049.4,430.7,398.7,459.3,297.1,269.7,325.5,1598.3,1479.4,1704.4,1180.8,1072.1,1293.9,355,328.6,378.6,392.4,356.3,430,-1.2,-1.3,-1,1.32
Lithuania,3520.2,3261,3775.5,2728.3,2476.1,3006.1,705,653.1,756.1,407.8,370.1,449.3,2332.3,2160.6,2501.5,1763.5,1600.5,1943.1,482.8,447.3,517.8,557,505.5,613.7,-1.2,-1.3,-1.1,1.37
Moldova,4196.7,3805.6,4598.8,3593.4,2972.8,4191.6,921.5,835.6,1009.8,522.3,432.1,609.3,2847.1,2581.8,3119.9,2516.4,2081.7,2935.2,428.1,388.2,469.1,554.8,458.9,647.1,-0.8,-1.2,-0.4,1.06
Russia,149212.4,137386.9,161288.4,144853.8,124993.3,163580.6,26726,24607.9,28889,26077.4,22502,29448.7,104098.4,95848.3,112523.2,96028.8,82862.5,108443.4,18388,16930.7,19876.2,22747.7,19628.8,25688.5,-0.1,-0.5,0.1,0.87
Ukraine,49618.5,45979.5,53230.8,43077.8,34633,51395.4,8640.6,8007,9269.7,6345.2,5101.3,7570.4,34126.9,31624.1,36611.4,29288,23546.5,34943,6850.9,6348.5,7349.7,7444.6,5985.2,8882.1,-0.7,-1.3,-0.2,1.17
High income,968024.9,944219.1,990223.7,1091666,1061851.3,1120812.2,184618.7,179697.7,189344.1,176389.5,171232.9,181421.2,646749.6,631049.7,661492.7,701700.4,682331,720361.9,136656.7,133572.9,139650.8,213576.1,207669.8,219418.7,0.6,0.5,0.6,1.21
High-income Asia Pacific,180136,170897.6,189540.6,185446.4,175178.2,196125,29655.2,28214.3,31141.9,22425.5,21188.3,23718.4,124613.5,118300.9,131012.6,116882.8,110734.5,123449.9,25867.3,24337.3,27356.2,46138,43267.9,48981.8,0.1,0.1,0.2,2.06
Brunei,332.8,306.2,357.7,451.1,393.8,509.7,105.1,96.7,113,94.6,82.6,106.9,218.3,200.8,234.6,332,289.8,375.1,9.3,8.6,10,24.5,21.4,27.7,1.4,1.2,1.7,0.26
Japan,128988.4,120100.7,137740.7,127697.5,117991.6,137075,18939.5,17634.5,20224.6,15444.4,14270.5,16578.5,87834.4,81782.3,93794.2,75404.2,69673,80941.5,22214.6,20683.9,23721.9,36848.9,34048.2,39555,-0,-0.1,-0,2.39
South Korea,46786.1,43464.8,49892.7,51570.5,47776.7,55126.7,9856.4,9156.7,10510.9,6074.5,5627.6,6493.4,33542.5,31161.4,35769.7,36999.7,34277.9,39551.2,3387.1,3146.7,3612,8496.2,7871.2,9082.1,0.5,0.4,0.5,1.4
Singapore,4028.7,3744.7,4300.9,5727.3,5261.6,6195.8,754.2,701,805.1,812.1,746.1,878.5,3018.3,2805.5,3222.3,4146.9,3809.7,4486.1,256.2,238.2,273.5,768.3,705.8,831.2,1.7,1.6,1.7,0.95
Australasia,22749.1,21310.7,24143.7,30961.5,29168.6,32748.2,4874,4572.2,5168.5,5731.1,5398.5,6063,15093.4,14136,16022,20034.1,18871.4,21191.7,2781.7,2604.1,2954.2,5196.2,4893.9,5497.2,1.5,1.4,1.5,0.91
Australia,18885.3,17446.7,20296.2,25791.9,24001,27547.9,3995.9,3691.5,4294.4,4749.4,4419.6,5072.8,12562.2,11605.3,13500.7,16656,15499.5,17790,2327.2,2149.9,2501.1,4386.5,4081.9,4685.1,1.5,1.5,1.5,0.92
New Zealand,3863.7,3576.5,4151.8,5169.5,4717.4,5607.4,878.1,812.8,943.5,981.7,895.9,1064.9,2531.2,2343,2719.9,3378,3082.6,3664.2,454.5,420.7,488.4,809.8,739,878.4,1.4,1.3,1.4,0.82
Western Europe,398473.4,390838,405423.5,437389.3,422281.1,450956.7,68018,66665.6,69253.9,68118.3,65859,70200.9,265889.3,260823.7,270477,279291.5,269572.5,287993.1,64566.1,63293.3,65720.3,89979.4,86747.7,92902.8,0.4,0.3,0.5,1.32
Andorra,65.6,65.2,66.1,85.6,77.6,94.3,10.1,10,10.2,10.2,9.2,11.2,47.5,47.2,47.8,61.7,56,68,8.1,8,8.1,13.7,12.4,15.1,1.3,0.8,1.7,1.34
Austria,8017.9,7447.8,8595.5,8982.3,8089.5,9783.2,1360.6,1263.9,1458.6,1297,1168.1,1412.7,5414.4,5029.4,5804.4,5970.4,5377,6502.7,1242.9,1154.5,1332.5,1714.9,1544.4,1867.8,0.5,0.4,0.6,1.32
Belgium,10256.8,9507.5,11033,11469.3,10320.4,12561.5,1805.5,1673.7,1942.2,1912.1,1720.6,2094.2,6725.1,6233.9,7234.1,7314.3,6581.6,8010.8,1726.1,1600,1856.7,2242.9,2018.2,2456.5,0.5,0.4,0.6,1.17
